Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
31-50,Male,Junior high school,Employee,2-5yr,other,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Unknown or other,No priority to vehicle,2
18-30,Male,Elementary school,Employee,Below 1yr,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2
Over 51,Male,Junior high school,Employee,5-10yr,other,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2
18-30,Male,High school,Employee,Above 10yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
31-50,Male,High school,Employee,Above 10yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
31-50,Male,Junior high school,Employee,5-10yr,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
Over 51,Male,Elementary school,Employee,1-2yr,Undivided Two way,Unknown,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1
Over 51,Female,Elementary school,Employee,5-10yr,other,Unknown,Asphalt roads,Darkness - no lighting,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,1
18-30,Female,Junior high school,Employee,5-10yr,other,Unknown,Asphalt roads,Darkness - no lighting,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Unknown,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1
Over 51,Male,Junior high school,Owner,5-10yr,other,Unknown,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the right,2
18-30,Female,High school,Owner,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2
18-30,Female,Unknown,Owner,Below 1yr,Double carriageway (median),Unknown,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,2
18-30,Male,Writing & reading,Owner,5-10yr,other,Unknown,Asphalt roads,Daylight,Normal,With Train,Unknown,Not a Pedestrian,No distancing,2
31-50,Male,Above high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No priority to vehicle,2
31-50,Male,High school,Employee,Below 1yr,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
31-50,Male,Junior high school,Employee,Above 10yr,other,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
31-50,Male,Junior high school,Owner,Above 10yr,other,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2
18-30,Male,Junior high school,Employee,Above 10yr,One way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving carelessly,2
18-30,Male,Junior high school,Employee,No Licence,One way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Driving under the influence of drugs,2
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the right,2
18-30,Male,Illiterate,Owner,1-2yr,other,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No priority to vehicle,2
31-50,Male,Junior high school,Owner,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Entering a junction,Not a Pedestrian,Changing lane to the right,2
18-30,Male,Junior high school,Owner,1-2yr,other,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Driving to the left,2
18-30,Male,Junior high school,Owner,2-5yr,other,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Entering a junction,"Walking along in carriageway, back to traffic",Moving Backward,2
Over 51,Male,Unknown,Owner,5-10yr,Double carriageway (median),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,1
31-50,Male,Unknown,Owner,Above 10yr,Undivided Two way,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No distancing,2
31-50,Male,Junior high school,Owner,2-5yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Driving carelessly,2
Unknown,Male,Elementary school,Owner,Above 10yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the left,2
Over 51,Female,Writing & reading,Owner,5-10yr,Two-way (divided with solid lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No priority to vehicle,2
18-30,Male,Unknown,Owner,Unknown,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Entering a junction,Not a Pedestrian,No priority to vehicle,2
31-50,Male,Junior high school,Owner,5-10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2
18-30,Male,Junior high school,Owner,Below 1yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2
31-50,Male,Junior high school,Owner,2-5yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Driving carelessly,2
31-50,Male,Elementary school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,2
31-50,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Unknown,Gravel roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
18-30,Male,Junior high school,Employee,5-10yr,other,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2
18-30,Male,Junior high school,Employee,5-10yr,other,Unknown,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Unknown or other,Driving carelessly,1
18-30,Male,Junior high school,Employee,Above 10yr,other,Unknown,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1
18-30,Male,Elementary school,Employee,5-10yr,other,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,Driving under the influence of drugs,1
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,1
Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,No distancing,2
Unknown,Male,Elementary school,Owner,Unknown,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,2
Unknown,Male,Junior high school,Owner,5-10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving to the left,2
Unknown,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Overtaking,2
Unknown,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
Unknown,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
18-30,Male,High school,Employee,Above 10yr,Double carriageway (median),Unknown,Asphalt roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overloading,2
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other,Not a Pedestrian,Other,2
Unknown,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2
18-30,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Unknown,Earth roads,Darkness - lights lit,Raining,Collision with roadside objects,Moving Backward,Unknown or other,Changing lane to the right,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Other,Not a Pedestrian,Moving Backward,2
Over 51,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
31-50,Male,Junior high school,Employee,Below 1yr,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Unknown,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
Over 51,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
Unknown,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
18-30,Male,Junior high school,Employee,Unknown,One way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
18-30,Male,Unknown,Employee,5-10yr,Undivided Two way,Unknown,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2
18-30,Male,Writing & reading,Employee,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
31-50,Male,Junior high school,Employee,Below 1yr,other,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Other,Not a Pedestrian,Moving Backward,2
31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Unknown,Other,Darkness - lights lit,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,Getting off the vehicle improperly,2
18-30,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Overtaking,2
18-30,Male,Elementary school,Employee,Below 1yr,Double carriageway (median),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Overloading,2
18-30,Male,High school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the right,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Improper parking,2
18-30,Male,Above high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
